"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2001"	"2001"	11	44889	Unreliable
	"Autauga County, AL"	"01001"	"2010"	"2010"	12	54571	Unreliable
	"Autauga County, AL"	"01001"	"2011"	"2011"	12	55267	Unreliable
	"Autauga County, AL"	"01001"	"2012"	"2012"	12	55514	Unreliable
	"Autauga County, AL"	"01001"	"2013"	"2013"	11	55246	Unreliable
	"Autauga County, AL"	"01001"	"2016"	"2016"	14	55416	Unreliable
	"Autauga County, AL"	"01001"	"2017"	"2017"	12	55504	Unreliable
	"Baldwin County, AL"	"01003"	"1999"	"1999"	24	137555	17.4
	"Baldwin County, AL"	"01003"	"2000"	"2000"	24	140415	17.1
	"Baldwin County, AL"	"01003"	"2001"	"2001"	20	144875	13.8
	"Baldwin County, AL"	"01003"	"2002"	"2002"	21	147957	14.2
	"Baldwin County, AL"	"01003"	"2003"	"2003"	24	151509	15.8
	"Baldwin County, AL"	"01003"	"2004"	"2004"	18	156266	Unreliable
	"Baldwin County, AL"	"01003"	"2005"	"2005"	14	162183	Unreliable
	"Baldwin County, AL"	"01003"	"2006"	"2006"	34	168121	20.2
	"Baldwin County, AL"	"01003"	"2007"	"2007"	27	172404	15.7
	"Baldwin County, AL"	"01003"	"2008"	"2008"	29	175827	16.5
	"Baldwin County, AL"	"01003"	"2009"	"2009"	38	179406	21.2
	"Baldwin County, AL"	"01003"	"2010"	"2010"	31	182265	17.0
	"Baldwin County, AL"	"01003"	"2011"	"2011"	34	186717	18.2
	"Baldwin County, AL"	"01003"	"2012"	"2012"	45	190790	23.6
	"Baldwin County, AL"	"01003"	"2013"	"2013"	37	195540	18.9
	"Baldwin County, AL"	"01003"	"2014"	"2014"	38	200111	19.0
	"Baldwin County, AL"	"01003"	"2015"	"2015"	45	203709	22.1
	"Baldwin County, AL"	"01003"	"2016"	"2016"	42	208563	20.1
	"Baldwin County, AL"	"01003"	"2017"	"2017"	38	212628	17.9
	"Blount County, AL"	"01009"	"2007"	"2007"	13	56240	Unreliable
	"Blount County, AL"	"01009"	"2009"	"2009"	10	57341	Unreliable
	"Blount County, AL"	"01009"	"2010"	"2010"	11	57322	Unreliable
	"Blount County, AL"	"01009"	"2012"	"2012"	15	57826	Unreliable
	"Blount County, AL"	"01009"	"2015"	"2015"	10	57673	Unreliable
	"Blount County, AL"	"01009"	"2016"	"2016"	11	57704	Unreliable
