County,State Abbrev.,,Flips,Latitude (generated),Longitude (generated),Total,Clinton (DL),Trump (DL),Gary Johnson,Jill Stein,OTHER COMBINED,FIPS,Clinton-Trump
Autauga,AL,County,Stayed GOP,32.536,-86.666,24973,5936,18172,546,105,214,1001,-12236
Baldwin,AL,County,Stayed GOP,30.739,-87.701,95215,18458,72883,2464,456,954,1003,-54425
Barbour,AL,County,Dem to GOP,31.926,-85.398,10469,4871,5454,93,18,33,1005,-583
Bibb,AL,County,Stayed GOP,33.033,-87.149,8819,1874,6738,124,17,66,1007,-4864
Blount,AL,County,Stayed GOP,33.941,-86.633,25588,2156,22859,338,89,146,1009,-20703
Bullock,AL,County,Stayed Dem,32.056,-85.704,4710,3530,1140,22,10,8,1011,2390
Butler,AL,County,Stayed GOP,31.743,-86.673,8732,3726,4901,65,13,27,1013,-1175
Calhoun,AL,County,Stayed GOP,33.77,-85.837,47864,13242,32865,1116,262,379,1015,-19623
Chambers,AL,County,Stayed GOP,32.919,-85.357,13900,5784,7843,168,44,61,1017,-2059
Cherokee,AL,County,Stayed GOP,34.173,-85.621,10733,1547,8953,147,26,60,1019,-7406
Chilton,AL,County,Stayed GOP,32.887,-86.695,18369,2911,15081,228,52,97,1021,-12170
Choctaw,AL,County,Stayed GOP,32.003,-88.2,7292,3109,4106,52,6,19,1023,-997
Clarke,AL,County,Stayed GOP,31.623,-87.84,13031,5749,7140,99,17,26,1025,-1391
Clay,AL,County,Stayed GOP,33.279,-85.907,6624,1237,5245,93,16,33,1027,-4008
Cleburne,AL,County,Stayed GOP,33.648,-85.596,6593,684,5764,90,20,35,1029,-5080
Coffee,AL,County,Stayed GOP,31.407,-85.992,20767,4221,15875,396,104,171,1031,-11654
Colbert,AL,County,Stayed GOP,34.653,-87.777,24915,7312,16746,511,107,239,1033,-9434
Conecuh,AL,County,Dem to GOP,31.488,-87.044,6585,3080,3420,51,10,24,1035,-340
Coosa,AL,County,Stayed GOP,32.928,-86.261,5252,1782,3381,53,14,22,1037,-1599
Covington,AL,County,Stayed GOP,31.259,-86.444,15940,2387,13267,183,36,67,1039,-10880
Crenshaw,AL,County,Stayed GOP,31.778,-86.323,6267,1664,4513,65,14,11,1041,-2849
Cullman,AL,County,Stayed GOP,34.131,-86.801,37873,3798,32989,687,134,265,1043,-29191
Dale,AL,County,Stayed GOP,31.445,-85.603,18749,4413,13808,350,62,116,1045,-9395
Dallas,AL,County,Stayed Dem,32.267,-87.139,18792,12836,5789,96,24,47,1047,7047
DeKalb,AL,County,Stayed GOP,34.421,-85.816,25826,3622,21405,458,152,189,1049,-17783
Elmore,AL,County,Stayed GOP,32.592,-86.132,37260,8443,27634,738,112,333,1051,-19191
Escambia,AL,County,Stayed GOP,31.13,-87.152,14845,4605,9935,188,37,80,1053,-5330
Etowah,AL,County,Stayed GOP,34.02,-86.053,44164,10442,32353,835,164,370,1055,-21911
Fayette,AL,County,Stayed GOP,33.718,-87.687,8249,1362,6712,109,24,42,1057,-5350
Franklin,AL,County,Stayed GOP,34.442,-87.851,12040,2197,9466,238,54,85,1059,-7269
Geneva,AL,County,Stayed GOP,31.095,-85.839,11758,1525,9994,149,24,66,1061,-8469
Greene,AL,County,Stayed Dem,32.856,-87.956,4880,4013,838,13,5,11,1063,3175
Hale,AL,County,Stayed Dem,32.743,-87.645,8040,4775,3173,54,12,26,1065,1602
Henry,AL,County,Stayed GOP,31.506,-85.229,8072,2292,5632,91,17,40,1067,-3340
Houston,AL,County,Stayed GOP,31.156,-85.355,42639,10664,30728,779,144,324,1069,-20064
Jackson,AL,County,Stayed GOP,34.742,-85.971,20984,3673,16672,393,90,156,1071,-12999
Jefferson,AL,County,Stayed Dem,33.548,-86.929,304191,156873,134768,6645,1554,4351,1073,22105
Lamar,AL,County,Stayed GOP,33.792,-88.11,6966,1036,5823,62,15,30,1075,-4787
Lauderdale,AL,County,Stayed GOP,34.887,-87.706,39525,9952,27899,987,222,465,1077,-17947
Lawrence,AL,County,Stayed GOP,34.535,-87.318,14829,3627,10833,250,31,88,1079,-7206
Lee,AL,County,Stayed GOP,32.57,-85.348,59191,21230,34617,2030,364,950,1081,-13387
Limestone,AL,County,Stayed GOP,34.823,-87.031,40294,9468,29067,1055,202,502,1083,-19599
Lowndes,AL,County,Stayed Dem,32.18,-86.652,6684,4883,1751,32,11,7,1085,3132
Macon,AL,County,Stayed Dem,32.407,-85.728,9140,7566,1431,69,49,25,1087,6135
Madison,AL,County,Stayed GOP,34.743,-86.522,163389,62822,89520,6621,1254,3172,1089,-26698
Marengo,AL,County,Stayed Dem,32.257,-87.795,10994,5615,5233,104,13,29,1091,382
Marion,AL,County,Stayed GOP,34.116,-87.92,12984,1432,11274,181,26,71,1093,-9842
Marshall,AL,County,Stayed GOP,34.323,-86.319,35316,4917,29233,678,158,330,1095,-24316
Mobile,AL,County,Stayed GOP,30.671,-88.177,172737,72186,95116,3291,791,1353,1097,-22930
Monroe,AL,County,Stayed GOP,31.591,-87.345,10271,4332,5795,88,17,39,1099,-1463
Montgomery,AL,County,Stayed Dem,32.214,-86.208,95878,58916,34003,1486,490,983,1101,24913
Morgan,AL,County,Stayed GOP,34.431,-86.829,50644,11254,37486,1168,218,518,1103,-26232
Perry,AL,County,Stayed Dem,32.657,-87.271,5278,3824,1407,23,6,18,1105,2417
Pickens,AL,County,Stayed GOP,33.283,-88.088,9542,3972,5456,49,19,46,1107,-1484
Pike,AL,County,Stayed GOP,31.836,-85.928,13168,5056,7693,257,48,114,1109,-2637
Randolph,AL,County,Stayed GOP,33.301,-85.443,10187,2291,7705,124,19,48,1111,-5414
Russell,AL,County,Stayed Dem,32.266,-85.161,19256,9579,9210,281,68,118,1113,369
Shelby,AL,County,Stayed GOP,33.26,-86.683,101254,22977,73020,2965,480,1812,1117,-50043
St. Clair,AL,County,Stayed GOP,33.706,-86.31,38400,5589,31651,684,130,346,1115,-26062
Sumter,AL,County,Stayed Dem,32.569,-88.131,6411,4746,1581,57,14,13,1119,3165
Talladega,AL,County,Stayed GOP,33.435,-86.149,33407,12121,20614,411,106,155,1121,-8493
Tallapoosa,AL,County,Stayed GOP,32.799,-85.803,19486,5519,13594,233,52,88,1123,-8075
Tuscaloosa,AL,County,Stayed GOP,33.303,-87.453,82700,31762,47723,1873,390,952,1125,-15961
Walker,AL,County,Stayed GOP,33.754,-87.294,29472,4497,24266,455,95,159,1127,-19769
Washington,AL,County,Stayed GOP,31.421,-88.175,8533,2374,6042,73,22,22,1129,-3668
Wilcox,AL,County,Stayed Dem,31.989,-87.262,6123,4339,1742,22,7,13,1131,2597
Winston,AL,County,Stayed GOP,34.148,-87.373,10313,872,9228,131,29,53,1133,-8356
Arkansas,AR,County,Stayed GOP,34.271,-91.381,6212,1939,3826,126,64,257,5001,-1887
Ashley,AR,County,Stayed GOP,33.201,-91.8,8083,2408,5338,156,34,147,5003,-2930
Baxter,AR,County,Stayed GOP,36.236,-92.372,19766,4169,14682,452,140,323,5005,-10513
Benton,AR,County,Stayed GOP,36.355,-94.216,96824,28005,60871,3871,949,3128,5007,-32866
Boone,AR,County,Stayed GOP,36.308,-93.077,16111,2926,12235,379,134,437,5009,-9309
Bradley,AR,County,Stayed GOP,33.443,-92.171,3653,1317,2164,73,16,83,5011,-847
Calhoun,AR,County,Stayed GOP,33.579,-92.543,2269,639,1556,44,3,27,5013,-917
Carroll,AR,County,Stayed GOP,36.342,-93.593,10758,3342,6786,238,210,182,5015,-3444
Chicot,AR,County,Stayed Dem,33.261,-91.252,4176,2350,1716,35,15,60,5017,634
Clark,AR,County,Stayed GOP,34.03,-93.189,8526,3620,4404,196,68,238,5019,-784
Clay,AR,County,Stayed GOP,36.379,-90.434,5200,1199,3781,100,35,85,5021,-2582
Cleburne,AR,County,Stayed GOP,35.533,-92.021,12085,2101,9458,229,63,234,5023,-7357
Cleveland,AR,County,Stayed GOP,33.884,-92.214,3354,723,2462,59,8,102,5025,-1739
Columbia,AR,County,Stayed GOP,33.229,-93.234,8887,3140,5456,117,40,134,5027,-2316
Conway,AR,County,Stayed GOP,35.266,-92.76,7927,2656,4849,171,43,208,5029,-2193
Craighead,AR,County,Stayed GOP,35.835,-90.661,35573,10538,22892,1031,304,808,5031,-12354
Crawford,AR,County,Stayed GOP,35.569,-94.192,22450,4488,16686,581,173,522,5033,-12198
Crittenden,AR,County,Stayed Dem,35.24,-90.285,15952,8410,6964,242,96,240,5035,1446
Cross,AR,County,Stayed GOP,35.296,-90.772,6874,1999,4584,105,24,162,5037,-2585
Dallas,AR,County,Stayed GOP,33.976,-92.647,2771,1165,1509,26,12,59,5039,-344
Desha,AR,County,Stayed Dem,33.834,-91.214,4257,2228,1919,44,4,62,5041,309
Drew,AR,County,Stayed GOP,33.592,-91.732,6595,2365,3968,111,43,108,5043,-1603
Faulkner,AR,County,Stayed GOP,35.147,-92.354,47527,14629,29346,1675,511,1366,5045,-14717
Franklin,AR,County,Stayed GOP,35.545,-93.889,6770,1376,5039,177,34,144,5047,-3663
Fulton,AR,County,Stayed GOP,36.376,-91.804,4772,1067,3471,107,41,86,5049,-2404
Garland,AR,County,Stayed GOP,34.581,-93.099,40805,12311,26087,989,387,1031,5051,-13776
Grant,AR,County,Stayed GOP,34.288,-92.443,7445,1373,5725,177,30,140,5053,-4352
Greene,AR,County,Stayed GOP,36.113,-90.525,14600,3071,10720,404,97,308,5055,-7649
Hempstead,AR,County,Stayed GOP,33.738,-93.713,7049,2377,4401,106,22,143,5057,-2024
Hot Spring,AR,County,Stayed GOP,34.313,-93.038,11944,3149,8172,239,112,272,5059,-5023
Howard,AR,County,Stayed GOP,34.115,-94.038,4674,1351,3157,60,22,84,5061,-1806
Independence,AR,County,Stayed GOP,35.733,-91.534,13614,2881,9936,352,85,360,5063,-7055
Izard,AR,County,Stayed GOP,36.088,-91.944,5448,1113,4042,125,45,123,5065,-2929
Jackson,AR,County,Stayed GOP,35.605,-91.308,5156,1583,3267,111,26,169,5067,-1684
Jefferson,AR,County,Stayed Dem,34.289,-91.832,25894,15772,9250,296,157,419,5069,6522
Johnson,AR,County,Stayed GOP,35.58,-93.437,9112,2427,6091,294,90,210,5071,-3664
Lafayette,AR,County,Stayed GOP,33.249,-93.612,2860,1032,1758,26,5,39,5073,-726
Lawrence,AR,County,Stayed GOP,36.019,-91.052,5685,1263,4064,165,39,154,5075,-2801
Lee,AR,County,Stayed Dem,34.773,-90.755,3026,1735,1229,22,6,34,5077,506
Lincoln,AR,County,Stayed GOP,33.982,-91.699,3826,1252,2455,48,16,55,5079,-1203
Little River,AR,County,Stayed GOP,33.68,-94.155,5227,1397,3605,85,14,126,5081,-2208
Logan,AR,County,Stayed GOP,35.197,-93.71,7921,1715,5746,195,54,211,5083,-4031
Lonoke,AR,County,Stayed GOP,34.755,-91.877,27100,5664,19958,767,172,539,5085,-14294
Madison,AR,County,Stayed GOP,36.036,-93.704,6841,1588,4928,144,54,127,5087,-3340
Marion,AR,County,Stayed GOP,36.281,-92.648,7107,1434,5336,157,56,124,5089,-3902
Miller,AR,County,Stayed GOP,33.37,-93.854,16091,4273,11294,237,69,218,5091,-7021
Mississippi,AR,County,Stayed GOP,35.773,-89.966,13204,5670,7061,181,65,227,5093,-1391
Monroe,AR,County,Stayed GOP,34.741,-91.224,2884,1312,1489,37,9,37,5095,-177
Montgomery,AR,County,Stayed GOP,34.544,-93.664,3559,748,2643,52,33,83,5097,-1895
Nevada,AR,County,Stayed GOP,33.646,-93.294,3246,1157,2000,35,6,48,5099,-843
Newton,AR,County,Stayed GOP,35.924,-93.232,3753,699,2875,49,69,61,5101,-2176
Ouachita,AR,County,Stayed GOP,33.591,-92.842,9935,4321,5351,97,24,142,5103,-1030
Perry,AR,County,Stayed GOP,34.966,-92.923,4306,1049,3008,113,38,98,5105,-1959
Phillips,AR,County,Stayed Dem,34.457,-90.829,6953,4310,2446,62,20,115,5107,1864
Pike,AR,County,Stayed GOP,34.163,-93.653,3981,685,3150,73,8,65,5109,-2465
Poinsett,AR,County,Stayed GOP,35.577,-90.662,7722,1880,5502,154,34,152,5111,-3622
Polk,AR,County,Stayed GOP,34.524,-94.2,8231,1212,6618,164,56,181,5113,-5406
Pope,AR,County,Stayed GOP,35.422,-93.054,22569,5000,16256,618,225,470,5115,-11256
Prairie,AR,County,Stayed GOP,34.829,-91.573,3444,814,2505,56,10,59,5117,-1691
Pulaski,AR,County,Stayed Dem,34.778,-92.392,159776,89574,61257,4328,1553,3064,5119,28317
Randolph,AR,County,Stayed GOP,36.311,-91.078,6379,1425,4509,203,53,189,5121,-3084
Saline,AR,County,Stayed GOP,34.632,-92.659,52100,13256,35863,1466,326,1189,5125,-22607
Scott,AR,County,Stayed GOP,34.873,-94.079,3510,602,2731,83,25,69,5127,-2129
Searcy,AR,County,Stayed GOP,35.893,-92.681,3728,601,2955,68,18,86,5129,-2354
Sebastian,AR,County,Stayed GOP,35.211,-94.239,44637,12300,29127,1630,481,1099,5131,-16827
Sevier,AR,County,Stayed GOP,33.999,-94.217,4562,1075,3282,83,20,102,5133,-2207
Sharp,AR,County,Stayed GOP,36.136,-91.484,7249,1472,5407,155,49,166,5135,-3935
St. Francis,AR,County,Stayed Dem,35.026,-90.776,7430,4031,3195,64,18,122,5123,836
Stone,AR,County,Stayed GOP,35.897,-92.127,5577,1203,4113,0,62,199,5137,-2910
Union,AR,County,Stayed GOP,33.175,-92.528,16894,5855,10456,275,70,238,5139,-4601
Van Buren,AR,County,Stayed GOP,35.623,-92.545,7339,1549,5382,182,53,173,5141,-3833
Washington,AR,County,Stayed GOP,35.982,-94.219,81861,33366,41476,3360,1316,2343,5143,-8110
White,AR,County,Stayed GOP,35.292,-91.732,27999,5170,21077,695,151,906,5145,-15907
Woodruff,AR,County,Dem to GOP,35.215,-91.259,2571,1118,1347,45,12,49,5147,-229
Yell,AR,County,Stayed GOP,35.044,-93.303,6439,1480,4608,157,47,147,5149,-3128
Apache,AZ,County,Stayed Dem,35.314,-109.522,27661,17083,8240,1221,469,648,4001,8843
Cochise,AZ,County,Stayed GOP,31.88,-109.754,50015,17450,28092,2394,993,1086,4003,-10642
Coconino,AZ,County,Stayed Dem,35.987,-112.052,59784,32404,21108,2978,1414,1880,4005,11296
Gila,AZ,County,Stayed GOP,33.69,-110.86,22515,7003,14182,803,212,315,4007,-7179
Graham,AZ,County,Stayed GOP,32.954,-109.786,12281,3301,8025,497,116,342,4009,-4724
Greenlee,AZ,County,Stayed GOP,33.277,-109.271,3300,1092,1892,200,59,57,4011,-800
La Paz,AZ,County,Stayed GOP,33.862,-114.032,5951,1575,4003,211,73,89,4012,-2428
Maricopa,AZ,County,Stayed GOP,33.629,-112.187,1567834,702907,747361,67043,19432,31091,4013,-44454
Mohave,AZ,County,Stayed GOP,35.613,-113.641,79943,17455,58282,2639,740,827,4015,-40827
Navajo,AZ,County,Stayed GOP,35.499,-110.288,40294,16459,20577,1410,703,1145,4017,-4118
Pima,AZ,County,Stayed Dem,32.049,-111.89,421640,224661,167428,15620,6200,7731,4019,57233
Pinal,AZ,County,Stayed GOP,32.983,-111.326,129546,47892,72819,5010,1476,2349,4021,-24927
Santa Cruz,AZ,County,Stayed Dem,31.529,-110.909,16433,11690,3897,432,221,193,4023,7793
Yavapai,AZ,County,Stayed GOP,34.531,-112.397,114450,35590,71330,3996,1588,1946,4025,-35740
Yuma,AZ,County,Stayed GOP,32.867,-114.074,53010,24605,25165,1873,649,718,4027,-560
Alameda,CA,County,Stayed Dem,37.592,-121.921,659543,514842,95922,16906,17830,14043,6001,418920
Alpine,CA,County,Stayed Dem,38.631,-119.807,602,334,217,25,21,5,6003,117
Amador,CA,County,Stayed GOP,38.465,-120.55,17963,6004,10485,804,227,443,6005,-4481
Butte,CA,County,Stayed GOP,39.705,-121.573,97002,41567,45144,4625,2594,3072,6007,-3577
Calaveras,CA,County,Stayed GOP,38.214,-120.507,23531,7944,13511,1104,424,548,6009,-5567
Colusa,CA,County,Stayed GOP,39.154,-122.29,6697,2661,3551,260,85,140,6011,-890
Contra Costa,CA,County,Stayed Dem,37.899,-121.987,473014,319287,115956,16123,8637,13011,6013,203331
Del Norte,CA,County,Stayed GOP,41.73,-123.979,9558,3485,5134,416,245,278,6015,-1649
El Dorado,CA,County,Stayed GOP,38.723,-120.509,95149,36404,49247,5027,1425,3046,6017,-12843
Fresno,CA,County,Stayed Dem,36.741,-119.639,287062,141341,124049,9246,4300,8126,6019,17292
Glenn,CA,County,Stayed GOP,39.591,-122.397,9470,3065,5788,375,97,145,6021,-2723
Humboldt,CA,County,Stayed Dem,40.733,-123.944,60014,33200,18373,2163,3681,2597,6023,14827
Imperial,CA,County,Stayed Dem,33.053,-115.284,48091,32667,12704,1221,745,754,6025,19963
Inyo,CA,County,Stayed GOP,36.403,-117.219,8179,3155,4248,328,214,234,6027,-1093
Kern,CA,County,Stayed GOP,35.29,-118.905,244163,98689,129584,9359,2887,3644,6029,-30895
Kings,CA,County,Stayed GOP,36.095,-119.894,34310,13617,18093,1338,411,851,6031,-4476
Lake,CA,County,Stayed Dem,39.008,-122.717,24684,11500,10603,1095,931,555,6033,897
Lassen,CA,County,Stayed GOP,40.745,-120.663,10699,2224,7574,473,105,323,6035,-5350
Los Angeles,CA,County,Stayed Dem,34.24,-118.298,3434308,2464364,769743,88968,76465,34768,6037,1694621
Madera,CA,County,Stayed GOP,37.15,-119.783,43507,17029,23357,1558,644,919,6039,-6328
Marin,CA,County,Stayed Dem,38.031,-122.74,140683,108707,21771,4180,3109,2916,6041,86936
Mariposa,CA,County,Stayed GOP,37.551,-119.851,8877,3122,5185,326,189,55,6043,-2063
Mendocino,CA,County,Stayed Dem,39.377,-123.478,37915,22079,10888,1331,2108,1509,6045,11191
Merced,CA,County,Stayed Dem,37.241,-120.65,70789,37317,28725,2410,1209,1128,6047,8592
Modoc,CA,County,Stayed GOP,41.588,-120.727,3843,877,2696,122,50,98,6049,-1819
Mono,CA,County,Stayed Dem,37.792,-118.742,5281,2773,2111,222,142,33,6051,662
Monterey,CA,County,Stayed Dem,36.095,-121.132,133408,89088,34895,4547,2823,2055,6053,54193
Napa,CA,County,Stayed Dem,38.521,-122.353,61372,39199,17411,2551,1262,949,6055,21788
Nevada,CA,County,GOP to Dem,39.419,-120.646,54935,26053,23365,2378,2189,950,6057,2688
Orange,CA,County,GOP to Dem,33.686,-117.769,1197521,609961,507148,46128,18068,16216,6059,102813
Placer,CA,County,Stayed GOP,39.14,-120.743,186024,73509,95138,9245,2501,5631,6061,-21629
Plumas,CA,County,Stayed GOP,39.998,-120.798,9850,3459,5420,411,186,374,6063,-1961
Riverside,CA,County,Stayed Dem,33.73,-116.055,751391,373695,333243,24089,11320,9044,6065,40452
Sacramento,CA,County,Stayed Dem,38.494,-121.444,562285,326023,189789,24412,9846,12215,6067,136234
San Benito,CA,County,Stayed Dem,36.607,-121.12,22122,12521,7841,815,364,581,6069,4680
San Bernardino,CA,County,Stayed Dem,34.914,-115.967,653983,340833,271240,21050,10604,10256,6071,69593
San Diego,CA,County,Stayed Dem,32.992,-116.846,1306400,735476,477766,51663,22820,18675,6073,257710
San Francisco,CA,County,Stayed Dem,37.775,-122.447,408541,345084,37688,8883,9904,6982,6075,307396
San Joaquin,CA,County,Stayed Dem,37.951,-121.252,227002,121124,88936,8049,3134,5759,6077,32188
San Luis Obispo,CA,County,Stayed Dem,35.389,-120.455,137202,67107,56164,6473,2848,4610,6079,10943
San Mateo,CA,County,Stayed Dem,37.381,-122.334,314384,237882,57929,9464,5102,4007,6081,179953
Santa Barbara,CA,County,Stayed Dem,34.761,-120.087,178878,107142,56365,6748,3719,4904,6083,50777
Santa Clara,CA,County,Stayed Dem,37.235,-121.705,703709,511684,144826,25325,12664,9210,6085,366858
Santa Cruz,CA,County,Stayed Dem,36.979,-121.949,130012,95249,22438,4325,4485,3515,6087,72811
Shasta,CA,County,Stayed GOP,40.787,-122.194,81024,22301,51778,3382,1300,2263,6089,-29477
Sierra,CA,County,Stayed GOP,39.583,-120.529,1858,601,1048,98,42,69,6091,-447
Siskiyou,CA,County,Stayed GOP,41.683,-122.582,20493,7234,11341,875,575,468,6093,-4107
Solano,CA,County,Stayed Dem,38.28,-122,168150,102360,51920,6254,2771,4845,6095,50440
Sonoma,CA,County,Stayed Dem,38.578,-122.989,233303,160435,51408,8987,7347,5126,6097,109027
Stanislaus,CA,County,Stayed Dem,37.58,-120.937,174406,81647,78494,6662,2562,5041,6099,3153
Sutter,CA,County,Stayed GOP,39.034,-121.681,33824,13076,18176,1437,382,753,6101,-5100
Tehama,CA,County,Stayed GOP,40.088,-122.204,23908,6809,15494,953,290,362,6103,-8685
Trinity,CA,County,Stayed GOP,40.684,-123.034,5784,2214,2812,302,239,217,6105,-598
Tulare,CA,County,Stayed GOP,36.265,-118.776,114102,47585,58299,3800,1620,2798,6107,-10714
Tuolumne,CA,County,Stayed GOP,38.071,-119.924,25893,9123,14551,1101,384,734,6109,-5428
Ventura,CA,County,Stayed Dem,34.416,-119.066,356107,194402,132323,13679,6315,9388,6111,62079
Yolo,CA,County,Stayed Dem,38.724,-121.961,82090,54752,20739,3346,1779,1474,6113,34013
Yuba,CA,County,Stayed GOP,39.259,-121.322,22998,7910,13170,1063,438,417,6115,-5260
Adams,CO,County,Stayed Dem,39.869,-104.379,193677,96558,80082,9893,2703,4441,8001,16476
Alamosa,CO,County,Stayed Dem,37.553,-105.746,6939,3189,3046,405,117,182,8003,143
Arapahoe,CO,County,Stayed Dem,39.651,-104.38,303048,159885,117053,16002,3829,6279,8005,42832
Archuleta,CO,County,Stayed GOP,37.196,-106.979,7339,2500,4264,331,116,128,8007,-1764
Baca,CO,County,Stayed GOP,37.319,-102.564,2153,283,1753,51,18,48,8009,-1470
Bent,CO,County,Stayed GOP,37.954,-103.072,1927,590,1188,83,20,46,8011,-598
Boulder,CO,County,Stayed Dem,40.087,-105.373,188145,132334,41396,8034,3733,2648,8013,90938
Broomfield,CO,County,Stayed Dem,39.932,-105.063,37690,19731,14367,2174,497,921,8014,5364
Chaffee,CO,County,Dem to GOP,38.739,-106.238,11250,4888,5391,537,198,236,8015,-503
Cheyenne,CO,County,Stayed GOP,38.826,-102.608,1102,132,925,31,4,10,8017,-793
Clear Creek,CO,County,Stayed Dem,39.708,-105.662,5866,2729,2575,365,118,79,8019,154
Conejos,CO,County,Dem to GOP,37.197,-106.198,4022,1771,1914,166,24,147,8021,-143
Costilla,CO,County,Stayed Dem,37.297,-105.45,1848,1125,588,83,19,33,8023,537
Crowley,CO,County,Stayed GOP,38.317,-103.779,1527,339,1079,63,11,35,8025,-740
Custer,CO,County,Stayed GOP,38.075,-105.422,3066,797,2061,141,24,43,8027,-1264
Delta,CO,County,Stayed GOP,38.864,-107.939,16790,4087,11655,475,255,318,8029,-7568
Denver,CO,County,Stayed Dem,39.783,-104.855,331852,244551,62690,14861,5580,4170,8031,181861
Dolores,CO,County,Stayed GOP,37.763,-108.452,1255,242,944,31,13,25,8033,-702
Douglas,CO,County,Stayed GOP,39.347,-104.994,187500,68657,102573,10212,1477,4581,8035,-33916
Eagle,CO,County,Stayed Dem,39.64,-106.644,25223,14099,8990,1368,423,343,8037,5109
El Paso,CO,County,Stayed GOP,38.824,-104.562,318968,108010,179228,19877,4093,7760,8041,-71218
Elbert,CO,County,Stayed GOP,39.346,-104.188,15980,3134,11705,666,138,337,8039,-8571
Fremont,CO,County,Stayed GOP,38.479,-105.476,21973,5297,15122,890,243,421,8043,-9825
Garfield,CO,County,Stayed GOP,39.53,-108.041,26470,11271,13132,1135,468,464,8045,-1861
Gilpin,CO,County,Stayed Dem,39.86,-105.548,3576,1634,1566,193,122,61,8047,68
Grand,CO,County,Stayed GOP,40.086,-106.139,8588,3358,4494,487,128,121,8049,-1136
Gunnison,CO,County,Stayed Dem,38.717,-106.94,9412,5128,3289,595,249,151,8051,1839
Hinsdale,CO,County,Stayed GOP,37.785,-107.295,589,197,339,27,11,15,8053,-142
Huerfano,CO,County,Dem to GOP,37.641,-104.926,3783,1633,1883,151,48,68,8055,-250
Jackson,CO,County,Stayed GOP,40.679,-106.362,861,171,629,41,7,13,8057,-458
Jefferson,CO,County,Stayed Dem,39.587,-105.223,328883,160776,138177,18537,4579,6814,8059,22599
Kiowa,CO,County,Stayed GOP,38.44,-102.775,855,91,728,24,1,11,8061,-637
Kit Carson,CO,County,Stayed GOP,39.304,-102.604,3702,536,2967,95,16,88,8063,-2431
La Plata,CO,County,Stayed Dem,37.319,-107.931,31150,15525,12587,1878,665,495,8067,2938
Lake,CO,County,Stayed Dem,39.206,-106.36,3199,1616,1270,173,78,62,8065,346
Larimer,CO,County,Stayed Dem,40.629,-105.569,195981,93113,83430,11510,3203,4725,8069,9683
Las Animas,CO,County,Dem to GOP,37.372,-104.114,6793,2650,3710,251,62,120,8071,-1060
Lincoln,CO,County,Stayed GOP,39.041,-103.604,2436,409,1892,77,9,49,8073,-1483
