FIPS,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Libertarian,Green,Constitution,CA Democratic,CA Republican,Reform,Write-ins,Independent American,Conservative,Working Families,Working Class,State1,State2,State3,State4,,,,
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22
1001,Autauga,County,19665,6221,13400,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin,County,77829,17779,59992,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
1005,Barbour,County,8354,4162,4191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1007,Bibb,County,6859,1559,5299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1009,Blount,County,19391,1957,17420,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
1011,Bullock,County,3682,2830,850,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1013,Butler,County,8112,3693,4414,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1015,Calhoun,County,36908,12178,24695,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
1017,Chambers,County,11309,4777,6524,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1019,Cherokee,County,8463,1364,7092,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1021,Chilton,County,13700,2198,11498,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1023,Choctaw,County,3655,3520,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0
1025,Clarke,County,8007,5254,2645,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
1027,Clay,County,5382,1051,4331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,Cleburne,County,4415,462,3950,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
