FIPS,State,County,Deaths,YPLL Rate,95% CI - Low,95% CI - High,Quartile,Sample Size,% Fair/Poor,95% CI - Low,95% CI - High,Quartile,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,LBW Births,Live Births,% LBW,95% CI - Low,95% CI - High,Quartile,Sample Size,% Smokers,95% CI - Low,95% CI - High,Quartile,% Obese,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,% With Access,% With Access,Quartile,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,Quartile,Chlamydia Cases,Chlamydia Rate,Quartile,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# PCP,PCP Rate,PCP Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# MHP,MHP Rate,MHP Ratio,# MHP,MHP Rate,MHP Ratio,Quartile,# Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Quartile,# Diabetics,% HbA1c,95% CI - Low,95% CI - High,Quartile,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Quartile,Cohort size,Graduation Rate,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Quartile,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Quartile,Annual Violent Crimes,Violent Crime Rate,Quartile,Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Average daily PM25,Quartile,% pop in viol,Pop. In viol,Quartile,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Quartile,# Drive Alone,Workers,% Drive Alone,95% CI - Low,95% CI - High,Quartile,Workers who Drive Alone,Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile
01001,Alabama,Autauga,729,8376,7522,9231,1,407,23,18,29,3,396,5.1,4.1,6.1,3,403,3.6,2.7,4.6,1,,440,4708,9.3,8.5,10.2,2,409,22,17,28,2,31,26,36,1,7,2,29,25,35,1,,59,1,394,17,12,23,4,13,51,25,2,247,447,2,565,14490,39,36,42,1,6682,14,12,15,1,21,38,2632:1,3,15,27,3701:1,15,27,3731:1,3,,,,1,2,55969:1,4,4698,75,67,83,2,645,87,80,94,1,425,66.6,58.8,74.3,1,764,80,2,7940,14507,54.7,49.8,59.6,2,1644,25480,6.5,1,2648,19,14,23,1,293,24,18,31,3,4388,14566,30,26,35,1,162,303,2,185,70,60,80,1,12.9,3,0,0,1,2300,12,10,14,1,21393,24369,88,86,90,4,21393,42,38,46,3
01003,Alabama,Baldwin,2325,7770,7292,8249,1,1664,13,11,15,1,1622,3.3,2.7,3.9,1,1628,3.8,3.1,4.5,1,,1359,15353,8.9,8.4,9.3,1,1657,21,18,24,2,27,24,30,1,8,1,28,25,31,1,,58,1,1600,18,15,21,4,43,135,32,3,563,302,1,1800,38796,46,44,49,1,25214,17,15,18,2,140,75,1334:1,1,84,44,2271:1,84,44,2298:1,1,,,,88,46,2194:1,1,22090,54,51,57,1,2436,80,77,84,4,1841,67.1,63.3,70.8,1,2326,74,3,27677,44796,61.8,58.5,65.1,1,5666,83743,6.8,1,8723,21,16,25,1,1244,19,16,23,1,11699,41962,28,25,31,1,387,213,1,669,76,70,82,2,13.1,4,4,7845,3,9370,13,12,15,2,66189,79588,83,82,85,2,66189,35,33,37,3
01005,Alabama,Barbour,422,9458,8108,10808,2,423,23,19,29,3,414,4.8,3.5,6.1,3,416,4.3,2.8,5.8,2,,304,2470,12.3,11.0,13.6,4,425,25,18,33,3,37,32,43,4,5,4,35,30,40,3,,11,4,414,14,8,22,4,10,21,48,4,237,874,4,446,6045,74,67,81,4,3810,19,17,21,4,12,44,2260:1,2,10,37,2720:1,10,33,3060:1,2,,,,1,3,30596:1,4,3006,101,90,112,4,453,88,79,96,1,282,64.5,55.2,73.9,2,332,61,4,3084,7448,41.4,36.5,46.3,4,1016,9088,11.2,4,2683,47,39,55,4,283,18,12,26,1,3350,5992,56,50,62,4,43,154,1,73,53,41,66,1,12.6,1,32,11504,4,1650,17,14,20,4,7431,8990,83,81,85,2,7431,32,27,36,2
01007,Alabama,Bibb,390,11544,9945,13143,4,379,18,14,23,1,367,4.7,3.5,6.0,3,370,5.1,3.9,6.4,3,,230,1808,12.7,11.2,14.3,4,379,26,19,34,3,34,29,40,2,8,2,37,32,43,4,,18,3,366,11,7,17,2,8,29,28,2,106,466,2,252,5114,49,43,55,2,2827,16,14,18,1,5,22,4553:1,4,4,18,5649:1,4,16,6207:1,4,,,,,,,2,1906,90,76,104,3,313,83,73,93,3,184,62.0,50.6,73.3,2,261,73,3,2712,6136,44.2,37.3,51.1,3,694,9083,7.6,2,1297,27,20,35,1,264,29,22,38,4,2067,5262,39,28,51,3,57,254,2,111,98,80,116,4,12.9,3,0,0,1,710,10,6,13,1,6888,8366,82,78,86,2,6888,50,42,57,4
01009,Alabama,Blount,826,8506,7672,9339,1,367,24,18,32,3,360,5.9,4.0,7.7,4,358,3.9,2.6,5.2,2,,379,4925,7.7,7.0,8.4,1,368,21,16,28,2,30,25,36,1,9,1,35,29,41,3,,15,4,362,6,3,10,1,14,60,23,1,101,175,1,615,12929,48,44,51,2,8807,18,16,20,3,11,19,5243:1,4,11,19,5257:1,11,19,5301:1,3,,,,2,3,29158:1,4,3949,91,81,101,3,570,84,76,91,3,341,62.8,54.3,71.2,2,713,81,2,6816,14729,46.3,41.9,50.7,3,1639,26358,6.2,1,3179,23,18,28,1,278,14,10,19,1,3541,13976,25,19,31,1,95,164,1,253,89,78,100,3,12.7,1,3,2133,3,2595,13,11,14,2,18606,23117,80,78,83,1,18606,60,56,65,4
01011,Alabama,Bullock,192,9884,7945,11822,2,104,23,16,33,3,101,4.2,2.1,6.4,2,,,,,3,,169,1233,13.7,11.8,15.6,4,103,38,21,58,4,42,34,50,4,4,4,33,26,40,2,,29,3,,,,,2,8,20,40,4,148,1404,4,226,2655,85,74,96,4,1200,16,14,18,1,3,28,3514:1,3,2,19,5237:1,2,16,6083:1,3,,,,1,8,12166:1,4,1075,91,74,107,3,204,81,69,94,3,101,48.5,34.9,62.1,4,112,73,3,1148,3193,36.0,26.3,45.6,4,473,3533,13.4,4,949,43,32,55,4,,,,,2,1559,2383,65,52,79,4,36,334,3,56,103,77,133,4,12.8,2,15,2168,4,525,14,9,19,3,3373,4009,84,78,90,3,3373,45,32,58,4
01013,Alabama,Butler,389,11006,9423,12589,3,372,20,16,24,1,358,3.9,2.7,5.1,1,358,3.5,2.2,4.8,1,,200,1932,10.4,9.0,11.7,3,373,31,23,40,4,38,33,43,4,6,3,37,32,42,4,,47,2,356,11,7,18,2,4,26,15,1,132,639,3,294,4783,61,54,69,4,2803,16,14,18,2,7,34,2950:1,3,6,30,3385:1,6,29,3440:1,2,,,,4,19,5160:1,3,2900,128,116,141,4,451,78,69,86,4,236,58.1,48.3,67.8,3,309,72,4,2230,4830,46.2,39.6,52.7,3,966,8903,10.9,4,1959,42,34,50,4,270,28,19,38,4,2454,4969,49,44,55,4,94,453,3,74,71,56,89,1,12.8,2,25,6698,4,1325,17,13,20,3,6763,7624,89,85,92,4,6763,32,27,37,2
01015,Alabama,Calhoun,2042,11097,10411,11783,3,1458,23,20,26,2,1418,5.2,4.5,5.9,4,1426,5.1,4.4,5.8,3,,931,10328,9.0,8.5,9.6,2,1456,24,21,28,3,33,30,37,2,7,3,33,30,37,2,,41,2,1404,12,9,15,2,17,85,20,1,781,663,3,1464,28869,51,48,53,2,16663,17,15,19,2,79,67,1491:1,1,55,47,2133:1,55,46,2185:1,1,,,,76,63,1581:1,1,15783,92,87,96,3,2205,80,76,83,4,1323,55.2,51.2,59.2,4,1455,79,2,14926,29384,50.8,47.6,54.0,2,3966,52372,7.6,2,8212,31,26,37,3,1063,22,19,26,2,10305,26587,39,35,43,2,649,553,4,459,78,71,86,2,12.9,3,0,0,1,6710,14,13,16,3,38810,45958,84,83,86,3,38810,27,24,29,1
01017,Alabama,Chambers,643,10368,9162,11574,2,385,39,29,49,4,359,5.0,3.7,6.3,3,371,4.3,3.1,5.5,2,,328,2813,11.7,10.5,12.8,3,385,24,18,31,3,35,30,41,3,6,4,39,33,44,4,,34,2,,,,,2,12,48,25,2,260,766,3,497,7933,63,57,68,4,5039,18,16,20,3,13,38,2611:1,2,8,23,4258:1,8,23,4315:1,3,,,,,,,2,4635,89,80,97,3,781,84,77,90,2,433,65.8,58.2,73.5,1,320,80,2,3853,8184,47.1,41.3,52.9,2,1360,14659,9.3,3,2557,35,28,42,3,271,33,25,41,4,4011,7766,52,44,59,4,168,576,4,134,78,64,91,2,13.0,4,0,0,1,2345,17,14,20,4,10716,12700,84,81,87,3,10716,33,29,38,2
01019,Alabama,Cherokee,470,9409,8041,10776,2,208,24,18,32,3,199,6.1,4.0,8.1,4,201,5.2,3.3,7.1,4,,149,1678,8.9,7.5,10.2,1,208,24,17,33,3,31,25,38,1,8,1,34,27,41,3,,15,4,199,15,9,24,4,10,33,30,3,70,269,1,268,5131,52,46,59,2,3633,17,15,19,2,7,27,3722:1,4,4,15,6505:1,4,15,6578:1,4,,,,4,15,6578:1,3,3039,100,88,112,4,499,88,80,97,1,312,59.6,51.0,68.2,3,334,72,4,3132,5858,53.5,45.9,61.0,2,814,11455,7.1,2,1607,30,22,38,2,157,23,15,33,3,1371,5308,26,20,32,1,86,336,3,104,81,65,97,3,12.9,3,0,0,1,1155,10,8,13,1,8075,10025,81,77,84,1,8075,42,36,47,3
