GEOID,dod_rate,total_pills,annual_pills,change_pills
01001,2.22648230045566e-4,21268470,57.8,7.818572775068696
01003,1.9602228663914958e-4,69926581,57,13.011094087628905
01009,1.8454402246087648e-4,11940485,30.1,8.66378904383674
01015,1.9412838697427113e-4,50429369,61.9,9.130496507934426
01017,4.432231185178619e-4,13490763,55.7,9.646293769407043
01021,2.5032428373119724e-4,14478570,48.1,9.735811665840732
01031,2.154640374224299e-4,15926130,47.3,7.470639092320208
01033,2.0167574207506005e-4,32490810,85.2,6.622145352133039
01039,3.2351989647363315e-4,18068718,68.8,9.103338336280583
01043,2.220952197892387e-4,34715850,62,8.858642240640954
01049,1.8243211508375102e-4,24137124,49.5,12.925237555620523
01051,1.9660338243210598e-4,22880522,42.2,15.275841982332487
01053,2.927540191211269e-4,15831790,59.7,10.062858738594056
01055,1.6084405185418666e-4,55123420.8,75.8,9.894601023436707
01069,1.4026118311348692e-4,37527550,54.3,7.868645848363974
01071,2.6332732052404903e-4,28117060,75.3,6.705077462521142
01073,1.360970346632065e-4,247636796.6,53.8,9.177892623062386
01077,1.5113606200260074e-4,33826460,53,8.44840718572408
01081,1.2013915270468085e-4,18699640,19.9,9.68608376800828
01083,1.3296729213741637e-4,21059700,38.6,4.649936159163141
01089,1.655486626112154e-4,123406859.3,54.9,9.26465258912628
01095,1.832316977830437e-4,49005540,77.4,12.919332102866788
01097,1.5288335387016102e-4,150242536,52.6,10.8171248775402
01101,1.1304080116469527e-4,57088237,35.8,8.179522893661114
01103,1.978998642817366e-4,50378990,61.4,7.4846173001077805
01113,1.8166190109100212e-4,19734370,54.7,10.7966961607452
01115,1.857906412931994e-4,22048080,39.3,9.486385744317968
01117,1.4361032899861683e-4,56512762,43.2,7.149865573523091
01121,1.8341704230362472e-4,32954765,57.4,12.96571916632641
01125,1.1066697369539765e-4,49843360,38.1,10.312944653526241
01127,2.3680206747409745e-4,66421493,140,6.486429744294923
02020,2.21071093967587e-4,62292963,31.4,5.2167569890987995
02050,6.121994657168299e-4,22458,0.2,87.49999999999999
02090,2.220986591992648e-4,16848620,25.4,7.087007324519449
02110,3.1158471988533684e-4,5959750,27.4,4.060376231590694
02122,2.900179037587368e-4,17033575,45.3,6.702949238326439
02170,2.2094064633275463e-4,24202020,41.3,5.83752561623637
02270,0.0014214738354010059,NA,NA,NA
04001,3.30749318496404e-4,4621795,9.4,7.42133664547458
04003,2.495783752299633e-4,37691160,41.7,6.083612843781219
04005,2.2436568095134324e-4,23481685,25.6,5.397674453764131
04007,3.2662726238885344e-4,21084440,56.8,8.589086288273288
04009,2.9303304412740697e-4,14623445,58.5,7.624816782237838
04012,6.310373282850347e-4,5961640,41.6,9.155884219146074
04013,1.593435477498475e-4,1004570167,38.1,9.394504154786402
04015,3.5770397450933457e-4,102892676,74,8.559604692129525
04017,2.8704995930277605e-4,23618291,31.4,6.936798577179015
04019,1.9240332141578302e-4,301640759,44.5,5.674434282847922
04021,1.5766957216155808e-4,71113160,31.5,3.5603449215627965
04025,3.410367775371504e-4,70846215,48.4,7.4613058442394005
04027,1.2816512444204577e-4,32479730,24.4,10.60215931090825
05005,3.9001790397386564e-4,15089610,52.1,12.472039626490965
05007,1.7750777180963972e-4,55370980,37.7,11.478583488587953
05009,3.744413380289906e-4,13372490,52.1,12.858216844718799
05029,5.233360293068176e-4,7213660,49.1,9.666431225109214
05031,1.824409639789809e-4,34134924,52.4,5.394728030894976
05033,2.1913632866894778e-4,26292500,62.2,10.16464941318459
05045,1.56225662092666e-4,24321360,32.2,11.99307233825978
05051,3.0129566631461143e-4,43836449,65.6,10.13380971395946
05055,2.993116164871616e-4,18560760,64.4,5.558599181553705
