DMA,GEOID,city,lat,lon
ABILENE (TX) - SWEETWATER (TX),48049,"abilene, tx",32.4487364,-99.73314390000002
ALBANY (GA),13003,"albany, ga",31.5785074,-84.15574099999999
ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),25003,"albany, ny",42.6525793,-73.7562317
ALBUQUERQUE (NM) - SANTA FE (NM),04001,"albuquerque, nm",35.0843859,-106.650422
ALEXANDRIA (LA),22009,"alexandria, la",31.3112936,-92.4451371
ALPENA (MI),26001,"alpena, mi",45.0616794,-83.4327528
AMARILLO (TX),35009,"amarillo, tx",35.2219971,-101.8312969
ANCHORAGE (AK),02020,"anchorage, ak",61.2180556,-149.9002778
ATLANTA (GA),01029,"atlanta, ga",33.7489954,-84.3879824
AUGUSTA (GA),13033,"augusta, ga",33.4734978,-82.0105148
AUSTIN (TX),48021,"austin, tx",30.267153,-97.7430608
BAKERSFIELD (CA),06029,"bakersfield, ca",35.3732921,-119.0187125
BALTIMORE (MD),24003,"baltimore, md",39.2903848,-76.6121893
BANGOR (ME),23009,"bangor, me",44.8016128,-68.7712257
BATON ROUGE (LA),22005,"baton rouge, la",30.4514677,-91.18714659999999
BEAUMONT (TX) - PORT ARTHUR (TX),48199,"beaumont, tx",30.080174,-94.1265562
BEND (OR),41017,"bend, or",44.0581728,-121.3153096
BILLINGS (MT),30003,"billings, mt",45.7832856,-108.5006904
BILOXI (MS) - GULFPORT (MS),28039,"biloxi, ms",30.3960318,-88.88530779999999
BINGHAMTON (NY),36007,"binghamton, ny",42.09868669999999,-75.91797380000001
BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL),01007,"birmingham, al",33.5185892,-86.8103567
BLUEFIELD (WV) - BECKLEY (WV) - OAK HILL (WV),51185,"bluefield, wv",37.2698395,-81.2223195
BOISE (ID),16001,"boise, id",43.6150186,-116.2023137
BOSTON (MA) - MANCHESTER (NH),25001,"boston, ma",42.3600825,-71.0588801
BOWLING GREEN (KY),21001,"bowling green, ky",36.9685219,-86.4808043
BUFFALO (NY),36003,"buffalo, ny",42.88644679999999,-78.8783689
BURLINGTON (VT) - PLATTSBURGH (NY),33009,"burlington, vt",44.4758825,-73.21207199999999
BUTTE (MT) - BOZEMAN (MT),30001,"butte, mt",46.0038232,-112.5347775
CASPER (WY) - RIVERTON (WY),56009,"casper, wy",42.8500769,-106.3251749
CEDAR RAPIDS (IA) - WATERLOO (IA) - IOWA CITY (IA) - DUBUQUE (IA),19005,"cedar rapids, ia",41.9778795,-91.6656232
CHAMPAIGN (IL) - SPRINGFIELD (IL) - DECATUR (IL),17019,"champaign, il",40.1164204,-88.2433829
CHARLESTON (SC),45015,"charleston, sc",32.7764749,-79.93105120000001
CHARLESTON (WV) - HUNTINGTON (WV),21019,"charleston, wv",38.3498195,-81.6326234
CHARLOTTE (NC),37003,"charlotte, nc",35.2270869,-80.8431267
CHARLOTTESVILLE,51540,charlottesville,38.0293059,-78.47667810000002
CHARLOTTESVILLE (VA),51003,"charlottesville, va",38.0293059,-78.47667810000002
CHATTANOOGA (TN),13047,"chattanooga, tn",35.0456297,-85.3096801
CHEYENNE (WY) - SCOTTSBLUF (NE),31157,"cheyenne, wy",41.1399814,-104.8202462
CHICAGO (IL),17031,"chicago, il",41.8781136,-87.6297982
CHICO (CA) - REDDING (CA),06007,"chico, ca",39.7284944,-121.8374777
CINCINNATI (OH),18029,"cincinnati, oh",39.1031182,-84.5120196
CLARKSBURG (WV) - WESTON (WV),54001,"clarksburg, wv",39.2806451,-80.34453409999999
CLEVELAND (OH) - AKRON (OH) - CANTON (OH),39005,"cleveland, oh",41.49932,-81.6943605
COLORADO SPRINGS (CO) - PUEBLO (CO),08009,"colorado springs, co",38.8338816,-104.8213634
COLUMBIA (MO) - JEFFERSON CITY (MO),29007,"columbia, mo",38.9517053,-92.3340724
COLUMBIA (SC),45017,"columbia, sc",34.0007104,-81.0348144
COLUMBUS (GA),01005,"columbus, ga",32.4609764,-84.9877094
COLUMBUS (MS) - TUPELO (MS) - WEST POINT (MS),01075,"columbus, ms",33.4956744,-88.4272627
COLUMBUS (OH),39031,"columbus, oh",39.9611755,-82.99879419999999
CORPUS CHRISTI (TX),48007,"corpus christi, tx",27.8005828,-97.39638099999999
DALLAS (TX) - FT. WORTH (TX),48001,"dallas, tx",32.7766642,-96.79698789999999
DAVENPORT (IA) - ROCK ISLAND (IL) - MOLINE (IL),17011,"davenport, ia",41.5236437,-90.5776367
DAYTON (OH),18177,"dayton, oh",39.7589478,-84.1916069
DENVER (CO),08001,"denver, co",39.7392358,-104.990251
DES MOINES (IA) - AMES (IA),19001,"des moines, ia",41.5868353,-93.6249593
DETROIT (MI),26087,"detroit, mi",42.331427,-83.0457538
DOTHAN (AL),01031,"dothan, al",31.2232313,-85.3904888
DULUTH (MN) - SUPERIOR (WI),26053,"duluth, mn",46.78667189999999,-92.1004852
EL PASO (TX),35013,"el paso, tx",31.7618778,-106.4850217
ELMIRA (NY),36015,"elmira, ny",42.0897965,-76.8077338
ERIE (PA),42039,"erie, pa",42.12922409999999,-80.085059
EUGENE (OR),41003,"eugene, or",44.0520691,-123.0867536
EUREKA (CA),06015,"eureka, ca",40.8020712,-124.1636729
EVANSVILLE (IN),17047,"evansville, in",37.9715592,-87.5710898
FAIRBANKS (AK),02090,"fairbanks, ak",64.8377778,-147.7163888
FARGO (ND) - VALLEY CITY (ND),27005,"fargo, nd",46.8771863,-96.7898034
FLINT (MI) - SAGINAW (MI) - BAY CITY (MI),26011,"flint, mi",43.0125274,-83.6874562
FLORENCE (SC) - MYRTLE BEACH (SC),37155,"florence, sc",34.1954331,-79.7625625
FRESNO (CA) - VISALIA (CA),06019,"fresno, ca",36.7377981,-119.7871247
FT. MYERS (FL) - NAPLES (FL),12015,"ft. myers, fl",26.640628,-81.8723084
FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR),05007,"ft. smith, ar",35.3859242,-94.39854749999999
FT. WAYNE (IN),18001,"ft. wayne, in",41.079273,-85.1393513
GAINESVILLE (FL),12001,"gainesville, fl",29.6516344,-82.32482619999999
GLENDIVE (MT),30021,"glendive, mt",47.106401,-104.7107931
GRAND JUNCTION (CO) - MONTROSE (CO),08029,"grand junction, co",39.0638705,-108.5506486
GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI),26005,"grand rapids, mi",42.9633599,-85.6680863
GREAT FALLS (MT),30005,"great falls, mt",47.5052849,-111.3007715
GREEN BAY (WI) - APPLETON (WI),26109,"green bay, wi",44.5133188,-88.0132958
GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC),37001,"greensboro, nc",36.0726354,-79.7919754
GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC),37013,"greenville, nc",35.612661,-77.3663538
GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC),13105,"greenville, sc",34.85261759999999,-82.3940104
GREENWOOD (MS) - GREENVILLE (MS),05017,"greenwood, ms",33.5162315,-90.1795281
HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX),48061,"harlingen, tx",26.1906306,-97.69610259999999
HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA),42001,"harrisburg, pa",40.2731911,-76.8867008
HARRISONBURG,51660,harrisonburg,38.4495688,-78.8689155
HARRISONBURG (VA),51015,"harrisonburg, va",38.4495688,-78.8689155
HARTFORD (CT) - NEW HAVEN (CT),09003,"hartford, ct",41.7658043,-72.6733723
HATTIESBURG (MS) - LAUREL (MS),28031,"hattiesburg, ms",31.3271189,-89.29033919999999
HELENA (MT),30007,"helena, mt",46.5891452,-112.0391057
HONOLULU (HI),15001,"honolulu, hi",21.3069444,-157.8583333
HOUSTON (TX),48015,"houston, tx",29.7604267,-95.3698028
HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL),01033,"huntsville, al",34.7303688,-86.5861037
IDAHO FALLS (ID) - POCATELLO (ID),16005,"idaho falls, id",43.49266069999999,-112.0407584
INDIANAPOLIS (IN),18005,"indianapolis, in",39.768403,-86.158068
JACKSON (MS),28001,"jackson, ms",32.2987573,-90.1848103
JACKSON (TN),47017,"jackson, tn",35.6145169,-88.81394689999999
JACKSONVILLE (FL),12003,"jacksonville, fl",30.3321838,-81.65565099999999
