date,city,county,state,venue,candidate,rally,name,lat,lon,DMA,GEOID
2016-06-10,Richmond,Richmond,VA,Richmond Coliseum,trump,"Richmond Coliseum, Richmond, VA","601 E Leigh St, Richmond, VA 23219, USA",37.5446385,-77.4344395,RICHMOND (VA) - PETERSBURG (VA),51760
2016-06-11,Moon,NA,PA,"Atlantic Aviation PIT, Pittsburgh International Airport",trump,"Atlantic Aviation PIT, Pittsburgh International Airport, Moon, PA","Atlantic Aviation PIT, 300 Horizon Dr, Moon, PA 15108, USA",40.497149,-80.222248,PITTSBURGH (PA),42003
2016-06-11,Tampa,NA,FL,Tampa Convention Center,trump,"Tampa Convention Center, Tampa, FL","333 S Franklin St, Tampa, FL 33602, USA",27.9420214,-82.4556374,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL),12057
2016-06-14,Greensboro,NA,NC,Greensboro Coliseum CompleY,trump,"Greensboro Coliseum CompleY, Greensboro, NC","1921 W Gate City Blvd, Greensboro, NC 27403, USA",36.058682,-79.82613099999999,GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC),37081
2016-06-15,Atlanta,NA,GA,Fox Theatre,trump,"Fox Theatre, Atlanta, GA","660 Peachtree St NE, Atlanta, GA 30308, USA",33.7724591,-84.38578100000001,ATLANTA (GA),13121
2016-06-16,Dallas,NA,TX,Gilley's Club,trump,"Gilley's Club, Dallas, TX","1135 S Lamar St, Dallas, TX 75215, USA",32.768777,-96.79798699999999,DALLAS (TX) - FT. WORTH (TX),48113
2016-06-17,The Woodlands,NA,TX,The Woodlands Waterway Marriott Hotel & Conference Center,trump,"The Woodlands Waterway Marriott Hotel & Conference Center, The Woodlands, TX","1601 Lake Robbins Dr, The Woodlands, TX 77380, USA",30.1607214,-95.4603992,HOUSTON (TX),48339
2016-06-18,Las Vegas,NA,NV,"Mystère Theatre, Treasure Island Hotel and Casino",trump,"Mystère Theatre, Treasure Island Hotel and Casino, Las Vegas, NV","3300 S Las Vegas Blvd, Las Vegas, NV 89109, USA",36.1247446,-115.1720809,LAS VEGAS (NV),32003
2016-06-18,Phoenix,NA,AZ,"Arizona Veterans Memorial Coliseum, Arizona State Fairgrounds",trump,"Arizona Veterans Memorial Coliseum, Arizona State Fairgrounds, Phoenix, AZ","1826 W McDowell Rd, Phoenix, AZ 85007, USA",33.469444,-112.096667,PHOENIX (AZ),04013
2016-06-28,St. Clairsville,NA,OH,"Health and Physical Education Center, Ohio University Eastern Campus",trump,"Health and Physical Education Center, Ohio University Eastern Campus, St. Clairsville, OH","45425 National Rd W, St Clairsville, OH 43950, USA",40.0735781,-80.9753648,WHEELING (WV) - STEUBENVILLE (OH),39013
2016-06-29,Bangor,NA,ME,Cross Insurance Center,trump,"Cross Insurance Center, Bangor, ME","515 Main St, Bangor, ME 04401, USA",44.788802,-68.77929,BANGOR (ME),23019
2016-07-05,Raleigh,NA,NC,"Raleigh Memorial Auditorium, Duke Energy Center for the Performing Arts",trump,"Raleigh Memorial Auditorium, Duke Energy Center for the Performing Arts, Raleigh, NC","2 E South St, Raleigh, NC 27601, USA",35.77121899999999,-78.6395764,RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC),37183
2016-07-06,Cincinnati,NA,OH,Sharonville Convention Center,trump,"Sharonville Convention Center, Cincinnati, OH","11355 Chester Rd, Cincinnati, OH 45246, USA",39.279265,-84.44502399999999,CINCINNATI (OH),39061
2016-07-12,Westfield,NA,IN,"Grand Park Event Center, Grand Park",trump,"Grand Park Event Center, Grand Park, Westfield, IN","Grand Park Sports Campus, 19000 Grand Park Blvd, Westfield, IN 46074, USA",40.0633175,-86.14945329999999,INDIANAPOLIS (IN),18057
2016-07-23,NA,NA,NA,NA,trump,"NA, NA, NA",United States,37.09024,-95.712891,TULSA (OK),20125
