GEOID,DMA,trump_rallies_dma_post_convention,clinton_rallies_dma_post_convention
48049,ABILENE (TX) - SWEETWATER (TX),0,0
48059,ABILENE (TX) - SWEETWATER (TX),0,0
48083,ABILENE (TX) - SWEETWATER (TX),0,0
48133,ABILENE (TX) - SWEETWATER (TX),0,0
48151,ABILENE (TX) - SWEETWATER (TX),0,0
48207,ABILENE (TX) - SWEETWATER (TX),0,0
48253,ABILENE (TX) - SWEETWATER (TX),0,0
48275,ABILENE (TX) - SWEETWATER (TX),0,0
48335,ABILENE (TX) - SWEETWATER (TX),0,0
48353,ABILENE (TX) - SWEETWATER (TX),0,0
48399,ABILENE (TX) - SWEETWATER (TX),0,0
48415,ABILENE (TX) - SWEETWATER (TX),0,0
48417,ABILENE (TX) - SWEETWATER (TX),0,0
48429,ABILENE (TX) - SWEETWATER (TX),0,0
48433,ABILENE (TX) - SWEETWATER (TX),0,0
48441,ABILENE (TX) - SWEETWATER (TX),0,0
13003,ALBANY (GA),0,0
13007,ALBANY (GA),0,0
13017,ALBANY (GA),0,0
13019,ALBANY (GA),0,0
13037,ALBANY (GA),0,0
13069,ALBANY (GA),0,0
13071,ALBANY (GA),0,0
13075,ALBANY (GA),0,0
13081,ALBANY (GA),0,0
13095,ALBANY (GA),0,0
13155,ALBANY (GA),0,0
13177,ALBANY (GA),0,0
13205,ALBANY (GA),0,0
13273,ALBANY (GA),0,0
13277,ALBANY (GA),0,0
13287,ALBANY (GA),0,0
13321,ALBANY (GA),0,0
25003,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36001,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36021,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36035,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36039,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36041,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36057,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36083,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36091,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36093,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36095,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36113,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
36115,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
50003,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),0,0
04001,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
08067,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
08083,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35001,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35003,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35005,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35006,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35007,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35011,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35015,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35017,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35019,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35021,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35023,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35025,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35027,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35028,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35029,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35031,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35033,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35035,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35039,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35043,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35045,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35047,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35049,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35051,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35053,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35055,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35057,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
35061,ALBUQUERQUE (NM) - SANTA FE (NM),1,0
22009,ALEXANDRIA (LA),0,0
22043,ALEXANDRIA (LA),0,0
22079,ALEXANDRIA (LA),0,0
22115,ALEXANDRIA (LA),0,0
26001,ALPENA (MI),0,0
26007,ALPENA (MI),0,0
35009,AMARILLO (TX),0,0
35037,AMARILLO (TX),0,0
35041,AMARILLO (TX),0,0
35059,AMARILLO (TX),0,0
40007,AMARILLO (TX),0,0
40025,AMARILLO (TX),0,0
40139,AMARILLO (TX),0,0
48011,AMARILLO (TX),0,0
48045,AMARILLO (TX),0,0
48065,AMARILLO (TX),0,0
48069,AMARILLO (TX),0,0
48075,AMARILLO (TX),0,0
48087,AMARILLO (TX),0,0
48101,AMARILLO (TX),0,0
48111,AMARILLO (TX),0,0
48117,AMARILLO (TX),0,0
48129,AMARILLO (TX),0,0
48179,AMARILLO (TX),0,0
48191,AMARILLO (TX),0,0
48195,AMARILLO (TX),0,0
48205,AMARILLO (TX),0,0
48211,AMARILLO (TX),0,0
48233,AMARILLO (TX),0,0
48295,AMARILLO (TX),0,0
48341,AMARILLO (TX),0,0
48357,AMARILLO (TX),0,0
48359,AMARILLO (TX),0,0
48369,AMARILLO (TX),0,0
48375,AMARILLO (TX),0,0
48381,AMARILLO (TX),0,0
48393,AMARILLO (TX),0,0
48421,AMARILLO (TX),0,0
48437,AMARILLO (TX),0,0
48483,AMARILLO (TX),0,0
02020,ANCHORAGE (AK),0,0
02122,ANCHORAGE (AK),0,0
02170,ANCHORAGE (AK),0,0
01029,ATLANTA (GA),0,0
01111,ATLANTA (GA),0,0
13011,ATLANTA (GA),0,0
13013,ATLANTA (GA),0,0
13015,ATLANTA (GA),0,0
13035,ATLANTA (GA),0,0
13045,ATLANTA (GA),0,0
13057,ATLANTA (GA),0,0
13059,ATLANTA (GA),0,0
13063,ATLANTA (GA),0,0
13067,ATLANTA (GA),0,0
13077,ATLANTA (GA),0,0
13085,ATLANTA (GA),0,0
13089,ATLANTA (GA),0,0
13097,ATLANTA (GA),0,0
13113,ATLANTA (GA),0,0
13115,ATLANTA (GA),0,0
13117,ATLANTA (GA),0,0
13121,ATLANTA (GA),0,0
13123,ATLANTA (GA),0,0
13129,ATLANTA (GA),0,0
13133,ATLANTA (GA),0,0
13135,ATLANTA (GA),0,0
13137,ATLANTA (GA),0,0
13139,ATLANTA (GA),0,0
13143,ATLANTA (GA),0,0
13149,ATLANTA (GA),0,0
13151,ATLANTA (GA),0,0
13157,ATLANTA (GA),0,0
13159,ATLANTA (GA),0,0
13171,ATLANTA (GA),0,0
13187,ATLANTA (GA),0,0
13195,ATLANTA (GA),0,0
13199,ATLANTA (GA),0,0
13211,ATLANTA (GA),0,0
13217,ATLANTA (GA),0,0
13219,ATLANTA (GA),0,0
13221,ATLANTA (GA),0,0
13223,ATLANTA (GA),0,0
13227,ATLANTA (GA),0,0
13231,ATLANTA (GA),0,0
13233,ATLANTA (GA),0,0
13237,ATLANTA (GA),0,0
13241,ATLANTA (GA),0,0
13247,ATLANTA (GA),0,0
13255,ATLANTA (GA),0,0
13281,ATLANTA (GA),0,0
13285,ATLANTA (GA),0,0
13291,ATLANTA (GA),0,0
13293,ATLANTA (GA),0,0
13297,ATLANTA (GA),0,0
13311,ATLANTA (GA),0,0
37043,ATLANTA (GA),0,0
13033,AUGUSTA (GA),0,0
13073,AUGUSTA (GA),0,0
13107,AUGUSTA (GA),0,0
13125,AUGUSTA (GA),0,0
13163,AUGUSTA (GA),0,0
13165,AUGUSTA (GA),0,0
13181,AUGUSTA (GA),0,0
13189,AUGUSTA (GA),0,0
13245,AUGUSTA (GA),0,0
13265,AUGUSTA (GA),0,0
13301,AUGUSTA (GA),0,0
13317,AUGUSTA (GA),0,0
45003,AUGUSTA (GA),0,0
45005,AUGUSTA (GA),0,0
45009,AUGUSTA (GA),0,0
45011,AUGUSTA (GA),0,0
45037,AUGUSTA (GA),0,0
45065,AUGUSTA (GA),0,0
48021,AUSTIN (TX),1,0
48031,AUSTIN (TX),1,0
48053,AUSTIN (TX),1,0
48055,AUSTIN (TX),1,0
48149,AUSTIN (TX),1,0
48171,AUSTIN (TX),1,0
48209,AUSTIN (TX),1,0
48287,AUSTIN (TX),1,0
48299,AUSTIN (TX),1,0
48319,AUSTIN (TX),1,0
48453,AUSTIN (TX),1,0
48491,AUSTIN (TX),1,0
06029,BAKERSFIELD (CA),0,0
24003,BALTIMORE (MD),0,0
24005,BALTIMORE (MD),0,0
24011,BALTIMORE (MD),0,0
24013,BALTIMORE (MD),0,0
24015,BALTIMORE (MD),0,0
24025,BALTIMORE (MD),0,0
24027,BALTIMORE (MD),0,0
24029,BALTIMORE (MD),0,0
24035,BALTIMORE (MD),0,0
24041,BALTIMORE (MD),0,0
24510,BALTIMORE (MD),0,0
23009,BANGOR (ME),1,0
23019,BANGOR (ME),1,0
23021,BANGOR (ME),1,0
23025,BANGOR (ME),1,0
23027,BANGOR (ME),1,0
23029,BANGOR (ME),1,0
22005,BATON ROUGE (LA),0,0
22007,BATON ROUGE (LA),0,0
22033,BATON ROUGE (LA),0,0
22037,BATON ROUGE (LA),0,0
22047,BATON ROUGE (LA),0,0
22063,BATON ROUGE (LA),0,0
22077,BATON ROUGE (LA),0,0
22091,BATON ROUGE (LA),0,0
22101,BATON ROUGE (LA),0,0
22121,BATON ROUGE (LA),0,0
22125,BATON ROUGE (LA),0,0
28005,BATON ROUGE (LA),0,0
28157,BATON ROUGE (LA),0,0
48199,BEAUMONT (TX) - PORT ARTHUR (TX),0,0
48241,BEAUMONT (TX) - PORT ARTHUR (TX),0,0
48245,BEAUMONT (TX) - PORT ARTHUR (TX),0,0
48351,BEAUMONT (TX) - PORT ARTHUR (TX),0,0
48361,BEAUMONT (TX) - PORT ARTHUR (TX),0,0
48457,BEAUMONT (TX) - PORT ARTHUR (TX),0,0
41017,BEND (OR),0,0
30003,BILLINGS (MT),0,0
30009,BILLINGS (MT),0,0
30017,BILLINGS (MT),0,0
30033,BILLINGS (MT),0,0
30037,BILLINGS (MT),0,0
30059,BILLINGS (MT),0,0
30065,BILLINGS (MT),0,0
30067,BILLINGS (MT),0,0
30069,BILLINGS (MT),0,0
30075,BILLINGS (MT),0,0
30087,BILLINGS (MT),0,0
30095,BILLINGS (MT),0,0
30097,BILLINGS (MT),0,0
30103,BILLINGS (MT),0,0
30107,BILLINGS (MT),0,0
30111,BILLINGS (MT),0,0
56003,BILLINGS (MT),0,0
56029,BILLINGS (MT),0,0
28039,BILOXI (MS) - GULFPORT (MS),0,0
28047,BILOXI (MS) - GULFPORT (MS),0,0
28059,BILOXI (MS) - GULFPORT (MS),0,0
28131,BILOXI (MS) - GULFPORT (MS),0,0
36007,BINGHAMTON (NY),0,0
36017,BINGHAMTON (NY),0,0
36025,BINGHAMTON (NY),0,0
36107,BINGHAMTON (NY),0,0
01007,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL),0,0
01009,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL),0,0
01015,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL),0,0
